iter	Passed	Remaining
0	2	280
1	4	230
2	12	413
3	14	338
4	16	306
5	18	283
6	19	264
7	21	250
8	28	286
9	30	274
10	32	262
11	34	252
12	36	241
13	46	288
14	48	275
15	50	264
16	52	253
17	59	272
18	61	263
19	63	254
20	65	246
21	67	238
22	75	252
23	76	243
24	78	236
25	80	229
26	82	222
27	84	216
28	91	224
29	94	220
30	106	237
31	108	230
32	110	223
33	112	217
34	114	212
35	122	218
36	124	212
37	126	206
38	128	201
39	130	196
40	135	194
41	136	187
42	139	184
43	141	180
44	155	189
45	157	184
46	159	179
47	160	174
48	162	169
49	170	170
50	172	165
51	174	160
52	175	155
53	177	151
54	178	145
55	183	144
56	185	140
57	187	135
58	188	131
59	190	127
60	192	123
61	202	124
62	204	120
63	206	116
64	208	112
65	213	110
66	216	106
67	218	102
68	219	98
69	221	95
70	223	91
71	231	89
72	233	86
73	235	82
74	237	79
75	239	75
76	240	71
77	242	68
78	244	65
79	250	62
80	252	59
81	254	55
82	258	53
83	261	49
84	266	47
85	269	43
86	271	40
87	272	37
88	274	33
89	276	30
90	279	27
91	281	24
92	283	21
93	286	18
94	288	15
95	294	12
96	297	9
97	298	6
98	300	3
99	303	0
